gene,spotX,spotY,parent_id,parent_prob
NPPA,5569.861,573.0833,10274,0.95524865872714
PAM,5606.5,573.1579,10274,0.8139410298049853
MYL3,5692.152,573.3913,13794,0.1
MYBPC3,5735.447,574.0526,13794,1.0
NPPA,5761.182,573.3939,13794,0.5385164807134504
NPPA,5866.705,573.6667,9353,0.25
MYBPC3,5896.333,574.8889,2280,1.0
NPPA,5304.151,576.7547,10736,0.7433034373659253
NPPA,5419.103,577.1026,31710,0.5099019513592784
NPPA,5600.958,576.4648,10274,1.0
NPPA,5900.404,577.1702,2280,1.0
HSPB7,5309.25,578.375,10736,0.5315072906367325
NPPA,5325.5,578.5,9931,0.2121320343559642
NPPA,5360.657,577.3714,9931,0.1118033988749895
PAM,5946.5,577.5,2280,0.1
NPPA,5899.154,581.3846,2280,1.0
PAM,5908.571,580.0,2280,1.0
NPPA,5201.763,580.9831,13069,0.565685424949238
NPPA,5920.417,581.0833,2280,1.0
NPPA,5246.756,582.3171,11203,0.7433034373659253
NPPA,5315.35,581.775,10736,0.1802775637731994
NPPA,5405.087,581.2174,31710,0.95524865872714
NPPA,5300.618,582.7647,10736,0.6363961030678927
NPPA,5712.327,582.9231,13794,1.0
NPPA,5729.1,583.0,13794,1.0
NPPA,5308.05,584.1,10736,0.3535533905932738
MYOM1,5432.333,584.0,23715,0.6020797289396148
COL1A1,5183.45,585.4,13069,0.9617692030835672
MYL3,5348.609,585.1739,9931,0.2121320343559642
MYOM1,5436.529,586.1765,23715,0.4949747468305833
NPPA,5258.4,587.1667,11203,1.0
NPPA,5561.553,586.0638,10274,0.7615773105863909
MYH6,5265.727,586.7273,11203,1.0
NPPA,5282.75,587.1333,10736,1.0
NPPA,5303.421,587.8158,10736,0.3905124837953327
MYBPC3,5896.145,587.4364,2280,1.0
MYOZ2,5388.714,588.8286,31710,0.6726812023536854
NPPA,5441.245,589.2653,23715,0.4924428900898052
NPPA,5456.699,590.4458,21015,0.25
NPPA,5711.757,589.5946,13794,0.7778174593052023
NPPA,5293.372,590.4468,10736,0.6103277807866851
PAM,5762.018,590.4182,13794,0.2
PAM,5908.297,590.027,2280,1.0
MYBPC3,5400.169,591.5424,31710,1.0
MYBPC3,5892.366,592.8925,2280,1.0
NPPA,5930.622,592.7748,2280,1.0
MYBPC3,5721.354,593.4308,13794,0.9924716620639604
MYH6,5411.0,595.0,31710,1.0
MYBPC3,5752.778,593.7778,13794,0.6576473218982952
MYBPC3,5592.929,595.4286,10274,1.0
LDB3,5864.75,595.1912,2280,0.4609772228646444
HSPB7,5236.25,596.0556,11203,0.8845903006477066
PAM,5398.073,596.7805,31710,0.8845903006477066
NPPA,5423.196,596.1765,23715,1.0
NPPA,5853.699,595.8675,2280,0.1118033988749895
PAM,5904.306,595.9722,2280,1.0
