gene,mean_cnc,mean_schwann,log2FC,pvalue
TMEM38B,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
MAML1,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
RMND1,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
SIRT7,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
POLR1C,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
PUS1,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
SLC9A3R1,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
ARHGDIB,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
ERLIN1,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
C11orf95,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
SETD9,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
LINC00094,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
RAB23,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
SNHG18,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
CXorf56,0.0967741935483871,0.13636363636363635,-0.4947603637026865,0.6303191228466882
PNRC2,0.5806451612903226,0.5,0.21572829030756058,0.6303887994550441
DDX59,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6306452303232013
EXOC7,0.6129032258064516,0.5227272727272727,0.22960045957023145,0.6314931560965293
DCAF11,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6315511867953008
ANP32A,1.967741935483871,2.1818181818181817,-0.14898978297022003,0.6319055521782615
ZNF766,0.1935483870967742,0.25,-0.3692321265292191,0.6321793389643406
DLGAP4,0.9032258064516129,0.7954545454545454,0.18330699695905942,0.6325147712329295
FAM208A,0.1935483870967742,0.25,-0.3692321265292191,0.6327065456094099
CDC23,0.25806451612903225,0.3181818181818182,-0.30211855755201933,0.6328313052211227
DNAJC21,0.25806451612903225,0.3181818181818182,-0.30211855755201933,0.6328313052211229
UBE2D1,0.8709677419354839,0.75,0.21572842389002034,0.6338305242037092
DCAKD,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.6340915093023549
ME2,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.6340915093023551
CLK1,0.9354838709677419,0.8181818181818182,0.19329108083324664,0.6344360123000032
ASPM,0.6774193548387096,0.45454545454545453,0.5756235919073289,0.6347878136363831
DYRK4,0.3548387096774194,0.4318181818181818,-0.2832598617587827,0.6351249108916694
AC090498.1,1.2258064516129032,1.3636363636363635,-0.15372765495553825,0.6351781697254983
ICAM2,0.03225806451612903,0.06818181818181818,-1.0797036289897655,0.6356112794236859
MICAL2,0.03225806451612903,0.06818181818181818,-1.0797036289897655,0.6356112794236859
TMPO,0.6774193548387096,0.5681818181818182,0.25369613180452744,0.6358467188129016
CRABP2,0.1935483870967742,0.13636363636363635,0.5052321824307029,0.6359669692881127
CGGBP1,0.5483870967741935,0.6590909090909091,-0.26528240374732326,0.6359898609968557
CBFA2T2,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917332
DCAF12,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917332
ABHD11,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917332
CSRNP1,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917332
NF2,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917332
MARK2,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917332
AGFG1,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917332
ZNF277,0.16129032258064516,0.20454545454545456,-0.34275970678151735,0.6363185968917333
DEPDC1B,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6364777614494492
GTPBP2,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6364777614494492
TM4SF1,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6364777614494492
FANCI,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6364777614494492
SPATA5,0.16129032258064516,0.11363636363636363,0.5052315572714479,0.6364777614494492
THG1L,0.3225806451612903,0.4090909090909091,-0.3427606525404008,0.6369817796988628
ANKRD44,0.2903225806451613,0.36363636363636365,-0.3248386884388126,0.6371226227569624
C7orf26,0.3225806451612903,0.25,0.3677304860795598,0.6377146045661126
PCMTD1,0.5161290322580645,0.4090909090909091,0.3353095754434763,0.6385555919564307
PPP1R12B,0.3548387096774194,0.2727272727272727,0.3797032020656492,0.6392819110835573
SERPINB6,0.967741935483871,0.8409090909090909,0.2026723133777703,0.639466546455103
SNRPE,5.645161290322581,6.159090909090909,-0.12570259994631172,0.6396082972617221
TNNC1,1.3548387096774193,1.2272727272727273,0.14266511818284677,0.639638362753003
PUF60,2.4838709677419355,2.772727272727273,-0.1587154281085541,0.6411123780589554
DST,2.7419354838709675,3.0454545454545454,-0.1514628936310587,0.6429960889161459
CEP55,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395577
RNF208,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395577
HARS2,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395577
ZBED4,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395577
ZNF35,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395577
AGTPBP1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395578
IPP,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395578
NME2,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395578
RCE1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6435249202395578
VMA21,0.4838709677419355,0.38636363636363635,0.3246623101458803,0.6437136347665136
PIK3IP1,0.25806451612903225,0.3181818181818182,-0.30211855755201933,0.6437144013977089
